rank,feature,select_k_best_score,selected,p_value,raw_score
1,cibil_score,4188.644691372292,True,0.0,4188.644691372292
2,loan_term,35.173080520866534,True,3.3625714480977844e-09,35.173080520866534
3,residential_assets_value,3.7666271142337258,True,0.052378961778576746,3.7666271142337258
4,no_of_dependents,1.6981025511622558,True,0.19263678321878708,1.6981025511622558
5,income_annum,1.620507938172274,True,0.20312007743860652,1.620507938172274
6,luxury_assets_value,1.1057648623314453,True,0.2930895201746621,1.1057648623314453
7,bank_asset_value,0.7459678180113483,True,0.38782522350503246,0.7459678180113483
8,loan_amount,0.66311880772553,True,0.41552597711334993,0.66311880772553
9,education,0.02954460076103503,False,0.8635392496391672,0.02954460076103503
10,self_employed,0.017315195025771047,False,0.8953196639636808,0.017315195025771047
11,commercial_assets_value,0.0013846964223329305,False,0.9703188493194499,0.0013846964223329305
