rank,feature,impact_score_mean,impact_score_std,selected_by_model,scoring_metric,n_repeats,baseline_f1
1,cibil_score,0.3458414180505864,0.007281931327562215,True,approved_f1,30,0.9874686716791979
2,loan_term,0.04044233854817869,0.00291685601165141,True,approved_f1,30,0.9874686716791979
3,loan_amount,0.016882948879447135,0.002529023398193761,True,approved_f1,30,0.9874686716791979
4,income_annum,0.010166484750154577,0.002130316765855029,True,approved_f1,30,0.9874686716791979
5,bank_asset_value,0.0035280692962901742,0.0015011811320434804,True,approved_f1,30,0.9874686716791979
6,residential_assets_value,0.0029708198855716923,0.0012903330879514207,True,approved_f1,30,0.9874686716791979
7,luxury_assets_value,0.0019886032986925002,0.0014391360822688108,True,approved_f1,30,0.9874686716791979
8,no_of_dependents,0.001223985689920922,0.000977996135392224,True,approved_f1,30,0.9874686716791979
9,commercial_assets_value,0.0,0.0,False,approved_f1,30,0.9874686716791979
10,education,0.0,0.0,False,approved_f1,30,0.9874686716791979
11,self_employed,0.0,0.0,False,approved_f1,30,0.9874686716791979
