rank_test_f1,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,params
1,0.9190103247564465,0.006210436486425865,0.961212491061023,0.004580773541030251,0.9064023418253484,0.007665777614422653,0.932988531759565,0.0053040277844344785,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced'}"
2,0.9186764368105859,0.006016833395941864,0.9580736567840062,0.00584759879742257,0.9090948613164074,0.007246871199304035,0.9329220161002001,0.0050701735131014015,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced'}"
3,0.9196775404334941,0.002629538476246864,0.9753496967890397,0.0028769817180086814,0.8934875228241023,0.004458420491075272,0.9326156663512786,0.002359394001012624,"{'classifier__C': 0.01, 'classifier__class_weight': 'balanced'}"
4,0.9180075404895156,0.0067474220091216465,0.9569859944463438,0.006399315632618008,0.9090948613164074,0.007246871199304035,0.9324093211613409,0.005641612594177716,"{'classifier__C': 10.0, 'classifier__class_weight': 'balanced'}"
4,0.9180075404895156,0.0067474220091216465,0.9569859944463438,0.006399315632618008,0.9090948613164074,0.007246871199304035,0.9324093211613409,0.005641612594177716,"{'classifier__C': 100.0, 'classifier__class_weight': 'balanced'}"
6,0.9109779667568614,0.009827850134091543,0.9253668615339251,0.011571792968439258,0.9322218357823957,0.0072905167033970215,0.928744146310901,0.007682993922816903,"{'classifier__C': 0.1, 'classifier__class_weight': None}"
7,0.9106429583816519,0.007883609533540505,0.9267013813517122,0.010476460960083747,0.9300727472973364,0.0075789851507258406,0.9283347593966722,0.00617778030234734,"{'classifier__C': 1.0, 'classifier__class_weight': None}"
8,0.9103085102211168,0.008295957611739586,0.9262171912123497,0.011041276755397659,0.9300727472973364,0.0075789851507258406,0.9280890985154974,0.006472860459516149,"{'classifier__C': 10.0, 'classifier__class_weight': None}"
8,0.9103085102211168,0.008295957611739586,0.9262171912123497,0.011041276755397659,0.9300727472973364,0.0075789851507258406,0.9280890985154974,0.006472860459516149,"{'classifier__C': 100.0, 'classifier__class_weight': None}"
10,0.9076318045074874,0.01322114001861588,0.9156556819357086,0.014947703534752924,0.9381387125757181,0.006800923822663819,0.9267221200438371,0.010114030713201041,"{'classifier__C': 0.01, 'classifier__class_weight': None}"
